학과명,과목명,이수구분,학년
대양휴머니티칼리지,English Composition1, 중필,1
,English Composition2, 중필,1
,세종사회봉사1, 중필,1
,문제해결을 위한 글쓰기와 발표, 중필,1
,서양철학:쟁점과 토론, 중필,1
,사고와 표현1, 중필,1
,사고와 표현2, 중필,1
,한국의 언어와 문화1, 중필,1
,한국의 언어와 문화2, 중필,1
,한국 전통문화의 이해, 중필,1
,서양철학의 이해, 중필,1
,English Listening Practice1, 중필,1
,심리학의 이해, 중선,1
,채플2, 중선,1
,정보사회와 정보이용, 중선,1
,과학사, 중선,1
,채플4, 중선,1
,과학철학, 중선,1
,세계경제의 이해, 중선,1
,동양의 철학사상, 중선,1
,정보사회의 사이버윤리, 중선,1
,현대과학으로의 여행, 중선,1
,지구환경과학입문, 중선,1
,진로설정과 자기계발, 중선,1
,철학과 인간이해, 중선,1
,현대인의 정신건강과 자기발견, 중선,1
,21세기 외교전쟁, 중선,1
,세종사회봉사2, 중선,1
,세종리더십, 중선,1
,동서양의 윤리, 중선,1
,천문학의 세계, 중선,1
,동양고전강독2, 중선,1
,서양고전강독2, 중선,1
,인류학과 현대사회, 중선,1
,현대사회와 다문화주의, 중선,1
,정치경제학의 이해, 중선,1
,현대과학기술의 이해, 중선,1
,창업의 이론과 실제, 중선,1
,창업과 기업가정신1, 중선,1
,K-Pop Music2, 중선,1
,창업과 기업가정신2, 중선,1
,경제학의 이해, 중선,1
,프로그래밍 입문, 중선,1
,경영학의 이해, 중선,1
,플랜트 엔지니어링, 중선,1
,기후변화와 창조경영, 중선,1
,프로그래밍입문-P, 중선,1
,고급프로그래밍입문-P, 중선,1
,고급프로그래밍입문-C, 중선,1
,소프트웨어기초코딩, 중선,1
,Technical Writing 기초, 중선,1
,공간과 인간:인문 예술 공학의 융합, 중선,1
,동서양고전문학강독, 중선,1
,동서양종교의 이해, 중선,1
,취업전략 및 사회진출, 중선,1
,주제탐구와 발표(SHP), 중선,1
,유니스토리, 중선,1
,Relations between North and South Korea, 중선,1
,수요집현강좌, 중선,1
,청년에게 들려주는 통일이야기, 중선,1
,인간과 우주, 중선,1
,K-MOOC:게임인공지능, 중선,1
,K-MOOC:웨어러블 컴퓨터 디자인, 중선,1
,K-MOOC:콘텐츠 산업의 비즈니스 전략, 중선,1
,SHP 고전강좌:Reading Intellectus2, 중선,1
,컴퓨팅사고기반 기초코딩, 중선,1
,융합적 사고, 중선,1
,애지헌강좌2, 중선,1
,SHP고전강좌:Writing Intellectus2, 중선,1
,K-MOOC:코딩과 스토리텔링, 중선,1
,K-MOOC:빅데이터와 텍스트 마이닝, 중선,1
,경영수학, 기교,1
,공업수학1, 기교,1
,공업수학2, 기교,1
,일반물리학1, 기교,1
,일반물리학 및 실험2, 기교,1
,일반생물학, 기교,1
,일반화학, 기교,1
,일반화학 및 실험2, 기교,1
,통계학개론, 기교,1
,경영통계학, 기교,1
,기초미적분학, 기교,1
,전산개론-I, 기교,1
,전산개론-O, 기교,1
,전산개론-C, 기교,1
,전산개론-M, 기교,1
,생명시스템공학입문, 기교,1
,기초생물통계학, 기교,1
,일변수 미적분학, 기교,1
,다변수 미적분학, 기교,1
,에어로빅, 자교,1
,인간과 문화, 자교,1
,패션디자인의 이해, 자교,1
,미생물의 세계, 자교,1
,생활속의 마케팅이해, 자교,1
,스피치 커뮤니케이션, 자교,1
,한일교류사, 자교,1
,반도체개론, 자교,1
,일본어2, 자교,1
,생활속의 색채심리학, 자교,1
,현대인과 건강관리, 자교,1
,성과 문화, 자교,1
,현대사회와 스포츠, 자교,1
,Intensive English, 자교,1
,Job Hunting Skills, 자교,1
,취업과 진로, 자교,1
,기초중국어1, 자교,1
,기초중국어2, 자교,1
,역사와 한국의 영토, 자교,1
,중국문화의 이해, 자교,1
,글로벌 잉글리쉬2, 자교,1
,현대인의 삶과 와인, 자교,1
,생활일본어, 자교,1
,미술심리치료, 자교,1
,영어읽기연습, 자교,1
,영어듣기연습, 자교,1
,이미지메이킹, 자교,1
,우리 차 문화의 이해, 자교,1
,컴퓨터게임과 문화, 자교,1
,교양 스키, 자교,1
,교양 배드민턴, 자교,1
,언어와 사회의 이해, 자교,1
,글로벌 잉글리쉬2(진로탐색), 자교,1
,글로벌 잉글리쉬2(심화), 자교,1
,웰빙 레저스포츠, 자교,1
,English Speaking Strategies(TS)2, 자교,1
,중급미술심리치료, 자교,1
,보컬트레이닝, 자교,1
,성의 과학, 자교,1
,국제개발협력과 해외봉사, 자교,1
,고전특강, 자교,1
,English Listening, 자교,1
,English Reading, 자교,1
,문화콘텐츠와 성서, 자교,1
,재난대응과 안전리더십, 자교,1
,English Listening Practice2, 자교,1
,대학생을 위한 실용금융, 자교,1
,행복한 가정만들기, 자교,1
,먹고 즐기는 자연, 자교,1
,푸른 바다생물이야기, 자교,1
,곤충의 새로운 가치, 자교,1
,동양사상산책, 자교,1
,유대인의 창의성과 리더십, 자교,1
,인물로 보는 세계사, 자교,1
,K-MOOC:모빌리티 디자인 방법론, 자교,1
,K-MOOC:일반인을 위한 물리코딩, 자교,1
,예술과 생활, 자교,1
,커뮤니케이션의 이해, 자교,1
,지구촌문화의 이해와 테마여행, 자교,1
,영어권문화의 이해, 자교,1
,역사에 담긴 지식의 즐거움, 자교,1
,설득력있는 프리젠테이션, 자교,1
,여성과 현대사회, 자교,1
,행복학, 자교,1
,음악감상의 이해, 자교,1
,팝으로 영어 청취하기, 자교,1
,한국어문법교육론, 자교,1
,영화 및 사진 치료, 자교,1
,부동산경매, 자교,1
,역사속 현자들의 리더십이야기, 자교,1
,인간행동의 심리적이해, 자교,1
,차문화와 건강, 자교,1
,한일문화와의 만남, 자교,1
,TOEIC R/C, 자교,1
,놀이치료, 자교,1
,뇌과학과 심리, 자교,1
,생활재테크, 자교,1
,애니메이션역사, 자교,1
,건강을 지켜주는 약초학, 자교,1
,생활속의 법률이야기, 자교,1
,이미지메이킹과 매너, 자교,1
,인간관계심리학, 자교,1
,커피아카데미, 자교,1
,컴퓨터활용, 자교,1
,영화의 이해와 감상, 자교,1
,UCC(디지털동영상) 기획 제작 편집 및 활용, 자교,1
,문화기술과 사회변동, 자교,1
,문화콘텐츠 마케팅 전략의 수립과 집행, 자교,1
,웰니스와 삶의 질, 자교,1
,고객관계 관리전략, 자교,1
,생태친화적 기업경영, 자교,1
,색채심리와 현대생활, 자교,1
,성공하는 문화콘텐츠 소재개발전략, 자교,1
,생활속의 계약과 협상, 자교,1
,저작권과 스마트폰의 이해, 자교,1
,문화행정론, 자교,1
,채움과 비움(나이듦의 인문학적 이해), 자교,1
,자기주도창의전공 Ⅰ, 전선,1
,자기주도창의전공 Ⅱ, 전선,1
,자기주도창의전공 Ⅲ, 전선,1
,자기주도창의전공 Ⅳ, 전선,1
,교직소양을 위한 독서강좌2, 교직,1
,교직윤리함양워크숍, 교직,1
,교육봉사활동2, 교직,1
,교육봉사활동3, 교직,1
,,,
,English Writing1, 중필,2
,English Writing2, 중필,2
,English Reading Practice2, 중필,2
,한국 현대사의 이해, 중선,2
,세계사:인간과 문명, 중선,2
,교육심리, 교직,2
,교육철학 및 교육사, 교직,2
,,,
,취업역량개발론, 중필,3
,일반인턴십1, 자교,3
,일반인턴십7, 자교,3
,교육방법 및 교육공학, 교직,3
,특수교육학개론, 교직,3
,학교폭력예방 및 학생의 이해, 교직,3
,,,
,교육행정 및 교육경영, 교직,4
