학과명	과목명	이수구분	학년
역사학과 [2115 학부] 인문과학대학	문화유적현장실습1	전필	1학년
	역사와우리민족	전선	1학년
	한국의문화유산	전선	1학년
	문화유적현장실습2	전필	2학년
	역사학개론	전필	2학년
	서양중세사	전선	2학년
	한국중세사	전선	2학년
	동양중세의사회와문화	전선	2학년
	근대한국사회와제국주의	전필	3학년
	문화유적현장실습3	전필	3학년
	동아시아의근대화	전선	3학년
	산업혁명과제국주의	전선	3학년
	역사교과교재연구및지도법	전선	3학년
	역사논리및논술	전선	3학년
	조선시대의생활사	전선	4학년
	쟁점한국사2	전선	4학년
	졸업연구및진로2	전선	4학년
영화예술학과 [2525학부] 예체능대학	서양영화사	전필	1학년
	무대매커니즘2	전필	1학년
	신체소리구성법2	전필	1학년
	영화기술기초	전필	1학년
	개별창의연구2	전필	1학년
	기초연기2(감성과체험훈련)	전선	1학년
	공연의이해와감상	전필	1학년
	연출론	전필	2학년
	공연프로덕션실습2	전필	2학년
	텍스트와연기실습2	전선	2학년
	시나리오작법1	전선	2학년
	영화제작WS2	전선	2학년
	사운드	전선	2학년
	뮤지컬넘버플레이1	전선	2학년
	분석과드라마트루기	전선	2학년
	Movement와몸언어2(전통연회)	전필	2학년
	영화제작론	전선	3학년
	연기메소드연구	전선	3학년
	촬영조명2	전선	3학년
	영화제작WS4	전선	3학년
	연극영화교과교재연구및지도법	전선	3학년
	연극영화논리및논술	전선	3학년
	매체연기실습2	전선	3학년
	뮤지컬넘버플레이2	전선	3학년
	장면구성과시각화	전선	3학년
	프로덕션디자인-캡스톤디자인	전선	3학년
	연기실습콜라보레이션2-종합설계	전선	3학년
	졸업작품(P/NP)	전필	4학년
	작가연구	전필	4학년
	공연제작Project2	전필	4학년
	영화이론비평세미나2	전선	4학년
	영화제작WS6	전선	4학년
	예술과기획경영	전선	4학년
	연극영화교육론	전선	4학년
	오디션연구	전선	4학년
원자력공학과 [2785 학부] 공과대학	확률및통계	전선	2학년
	원자로열전달	전선	2학년
	원자로공학1	전선	2학년
	원자력기계공학기초	전선	2학년
	원자력법령	전선	2학년
	확률론적안전성평가	전필	3학년
	원자로동역학및실험	전선	3학년
	보건물리	전선	3학년
	발전소계통공학	전선	3학년
	원자력고등수학	전선	3학년
	전공인턴쉽12	전선	3학년
	종합설계B-원자력시스템설계프로젝트	전필	4학년
	몬테카를로분석및방사선차폐	전선	4학년
	원자로보호및감시	전선	4학년
	졸업연구및진로2	전선	4학년
융합창업전공 [3310 학부] 연계전공	창업기회의발견과벤처파이낸싱	전필	2학년
	사업계획서작성프로젝트	전필	4학년
	창업기업의성장과재무	전필	4학년
	특허기술사업화	전선	4학년
음악과 [2513 학부] 예체능대학	연주2	전필	1학년
	전공실기2	전필	1학년
	오케스트라2	전필	1학년
	딕션2	전선	1학년
	합창2	전선	1학년
	현악합주2	전선	1학년
	체임버뮤직2	전선	1학년
	화성법및대위법2	전선	1학년
	발성과발음	전선	1학년
	컴퓨터음악1	전선	1학년
	대중음악사	전선	1학년
	연주4	전필	2학년
	전공실기4	전필	2학년
	오케스트라4	전필	2학년
	클래스피아노2	전선	2학년
	피아노문헌2	전선	2학년
	합창4	전선	2학년
	현악합주4	전선	2학년
	딕션4	전선	2학년
	체임버뮤직4	전선	2학년
	시창청음2	전선	2학년
	레코딩실습2	전선	2학년
	실용음악회성학1	전선	2학년
	연주6	전선	3학년
	전공실기6	전필	3학년
	오케스트라6	전필	3학년
	서양음악사2	전필	3학년
	성악문헌2	전선	3학년
	합창6	전선	3학년
	현악합주6	전선	3학년
	관악합주6	전선	3학년
	음악교과교재연구및지도법	전선	3학년
	음악논리및논술	전선	3학년
	체임버뮤직6	전선	3학년
	퍼포먼스워크샵2	전선	3학년
	월드뮤직연구	전선	3학년
	전공실기8	전선	4학년
	졸업작품(P/NP)	전필	4학년
	오케스트라8	전필	4학년
	연주8	전필	4학년
	현악합주8	전선	4학년
	관악합주8	전선	4학년
	체임버뮤직8	전선	4학년
	오페라워크샾2	전선	4학년
	뮤직비지니스	전선	4학년
	반주문헌2	전선	4학년
	실용음악공연워크샵2	전선	4학년
	실용음악제작	전선	4학년
전자정보통신공학과 [2930 학부] 전자정보공학대학	선형대수	전필	1학년
	프로그래밍	전필	1학년
	물리전자공학	전필	2학년
	신호및시스템	전필	2학년
	기초설계	전필	2학년
	컴퓨터구조론	전선	2학년
	JAVA프로그래밍	전선	2학년
	전기회로실험	전선	2학년
	컴퓨터네트워크	전필	3학년
	광전자공학	전필	3학년
	영상처리	전필	3학년
	디지털통신시스템	전필	3학년
	반도체공학	전선	3학년
	정보이론	전선	3학년
	정보시스템설계	전선	3학년
	디스플레이공학	전선	3학년
	반도체소자설계	전선	3학년
	전자회로2	전선	3학년
	데이터분석과도표작성	전선	3학년
	데이터통신설계	전선	3학년
	전자기2	전선	3학년
	ICT인턴십2	전선	3학년
	ICT인턴십3	전선	3학년
	전공인턴십12	전선	3학년
	수치해석	전선	4학년
	유선통신공학	전선	4학년
	디지털제어	전선	4학년
	광통신시스템	전선	4학년
	차세대이동통신	전선	4학년
	광반도체및LED공학	전선	4학년
	반도체에너지공학	전선	4학년
	안테나공학	전선	4학년
	전기전자재료공학	전선	4학년
	캡스톤디자인B	전선	4학년
	졸업연구및진로2	전선	4학년
정보보호학과 [2926 학부] 전자정보공학대학	오픈소스SW설계	전필	3학년
	시스템해킹과보안	전필	3학년
	소프트웨어공학과보안	전선	3학년
	ICT인턴십4	전선	3학년
	전공인턴십12	전선	3학년
	보안정책과법규	전선	4학년
	정보보호특강2	전선	4학년
	모바일시스템보안	전선	4학년
	졸업연구및진로2	전선	4학년
정보보호학과 [3215 학부] 소프트웨어융합대학	고급C프로그래밍실습	전필	1학년
	공학설계기초(산학프로젝트입문)	전필	1학년
	보안프로그래밍	전필	2학년
	어셈블리어	전필	2학년
	대칭키암호론	전선	2학년
	오픈소스SW개론	전선	2학년
지능기전공학부 [3230 학부] 소프트웨어융합대학	고급C프로그래밍및실습	전필	1학년
	이산수학및프로그래밍	전필	1학년
	창의융합노마드	전필	1학년
지능기전공학부 무인이동체공학전공 [3231 학부] 소프트웨어융합대학	알고리즘및실습	전필	2학년
	창의SW기초설계	전필	2학년
	전기회로실험	전선	2학년
지능기전공학부 스마트기기공학전공 [3232 학부] 소프트웨어융합대학	알고리즘및실습	전필	2학년
	창의SW기초설계	전필	2학년
	신호및시스템	전선	2학년
	웹프로그래밍	전선	2학년
	전기회로실험	전선	2학년
	확률통계및프로그래밍	전선	2학년
창의소프트학부 [3235 학부] 소프트웨어융합대학	디자인사	전필	1학년
	만화기초2	전필	1학년
	애니메이션기초2	전필	1학년
	창의융합노마드	전필	1학년
	디지털드로잉	전필	1학년
	프로덕트디자인1	전선	1학년
	비주얼커뮤니케이션디자인1	전선	1학년
창의소프트학부 디자인이노베이션정공 [3236 학부] 소프트웨어융합대학	타입&이미지	전필	2학년
	디자인재료및성형기법	전선	2학년
	인터렉티브디자인	전선	2학년
	비주얼프로그래밍	전선	2학년
	디자인인모션2	전선	2학년
	기초3D그래픽스	전선	2학년
