학과,전공과목,이수구분,학년
컴퓨터공학과 [2922학부] 전자정보공학대학,컴퓨터네트워크,전필,3
,소프트웨어공학,전선,3
,통신시스템,전선,3
,디지털신호처리,전선,3
,Unix프로그래밍,전선,3
,XML프로그래밍,전선,3
,심화프로그래밍설계,전선,3
,선형대수및프로그래밍,전선,3
,문제해결기법,전선,3
,ICT인턴십4,전선,3
,전공인턴십1,전선,3
,전공인턴십7,전선,3
,전공인턴십8,전선,3
,전공인턴십10,전선,3
,전공인턴십12,전선,3
,Capstone디자인(산학협력프로젝트),전필,4
,컴파일러,전선,4
,가상현실,전선,4
,모바일프로그래밍,전선,4
,멀티코어프로그래밍,전선,4
,특허와창업,전선,4
,소프트웨어특강2,전선,4
,졸업연구및진로2,전선,4
컴퓨터공학과 [3210학부] 소프트웨어융합대학,C프로그래밍및실습,전필,1
,고급C프로그래밍및실습,전필,1
,공학설계기초(산학프로젝트입문),전필,1
,컴퓨터구조론,전필,2
,알고리즘및실습,전필,2
,마이크로컴퓨터,전선,2
,멀티미디어,전선,2
,이산수학및프로그래밍,전선,2
,문제해결및실습:JAVA,전선,2
,오픈소스SW개론,전선,2
패션디자인학과 [2536학부] 예체능대학,패션컴퓨터그래픽,전필,1
,응용패턴설계,전필,1
,소재디자인,전필,2
,창작패션일러스트레이션,전선,2
,패션브랜드디자인,전선,2
,기초패션드레이핑,전선,2
,창작의상캡스톤디자인,전필,3
,테일러링,전선,3
,디지털패션캡스톤디자인,전선,3
,니트캡스톤디자인,전선,3
,전공인턴십7,전선,3
,전공인턴십12,전선,3
,졸업작품(P/NP),전필,4
,패션포트폴리오,전선,4
,패션코디네이션,전선,4
항공시스템공학과 [2787 학부] 공과대학,항공우주시스템공학개론,전필,1
,동역학,전필,2
,유체역학,전필,2
,군사교리,전필,2
,항공법,전선,2
,공군리더십,전필,3
,항공작전,전필,3
,항공생리훈련,전필,3
,항공우주추진공학,전선,3
,모의장비비행2,전선,3
,비행일반및체험비행,전필,4
,방위사업체계,전선,4
,모의장비비행4,전선,4
,졸업연구및진로2,전선,4
,졸업연구및진로2,전선,4
행정학과 [2223학부] 사회과학대학,대학생활과진로설계,중필,1
,행정학원론,전필,1
,헌법학원론,전선,1
,재무행정론,전필,2
,행정법,전선,2
,NGO와시민참여,전선,2
,조직론2,전선,2
,국제행정론,전선,3
,기획론,전선,3
,행정관리론,전선,3
,행정규제론,전선,3
,행정개혁론,전선,3
,일반사회교과교재연구및지도법,전선,3
,일반사회논리및논술,전선,3
,관료제도론,전선,4
,한국행정론,전선,4
,정책사례분석,전선,4
,졸업연구및진로2,전선,4
향장뷰티산업학과 [3842학부] 예체능대학,공중보건학,전필,1
,화장품학,전필,1
,헤어컬러링,전선,3
,전공실무연수8,전선,4
,뷰티살롱테크닉실습2,전선,4
,뷰티컬렉션리서치,전선,4
,어드밴스드뷰티테크닉2,전선,4
호텔관광외식경영학부 [3029학부] 호텔관광대학,회계원리,전필,1
,외식식품산업의이해,전선,1
호텔관광외식경영학부 외식경영학전공 [3036학부] 호텔관광대학,식품학,전필,2
,기초서양조리실습,전필,2
,와인개론,전선,2
,외식서비스마케팅,전선,2
,바리스타및음료실습1,전선,2
,식음료원가관리론,전필,3
,식품위생관리,전선,3
,메뉴계획과디자인,전선,3
,동양조리실습,전선,3
,제과·제빵실습2,전선,3
,전공인턴십1,전선,3
,전공인턴십12,전선,3
,외식사업창업론,전선,4
,외식기업사례연구,전선,4
,외식전략경영,전선,4
,졸업연구및진로2,전선,4
호텔관광외식경영학부 호텔관광경영학전공 [3035학부] 호텔관광대학,호텔관광경영통계원론,전필,2
,호텔관광조직인적자원관리론,전필,2
,호텔관광재무회계,전선,2
,여가사회학,전선,2
,서비스경영론,전선,2
,관광행동론,전선,3
,와인과소몰리에론,전선,3
,서비스마케팅,전선,3
,리조트경영론,전선,3
,관광교과교재연구및지도법,전선,3
,관광논리및논술,전선,3
,레저스포츠경영론,전선,3
,호텔관광커리어멘토링2,전선,3
,호텔관광전략경영론,전선,3
,국제회의및이벤트기획,전선,3
,고급카지노경영실무,전선,3
,ST-의사결정방법론,전선,3
,전공인턴십1,전선,3
,전공인턴십8,전선,3
,전공인턴십12,전선,3
,호텔관광경영세미나,전선,4
,마케팅조사론,전선,4
,크루즈경영론,전선,4
,호텔프로젝트관리론,전선,4
,관광법규정책,전선,4
,벤처창업론,전선,4
,졸업연구및진로2,전선,4
호텔외식관광프랜차이즈경영학과 [3033학부] 호텔관광대학,회계원리,전필,1
,경제학원론,전선,1
,Hospitality산업의이해,전선,1
,글로벌식생활문화,전선,1
,호텔외식경영실무2,전선,1
,HRT서비스경영론,전선,2
,호텔외식경영실무4,전선,2
,푸드스타일링,전선,2
,연회기획및케이터링경영론,전선,2
,항공.크루즈산업,전선,2
,외식산업경영론,전필,3
,호텔외식경영실무6,전선,3
,커피학개론,전선,3
,관광자원상품기획,전선,3
,호텔외식경영실무8,전선,4
호텔외식비즈니스학과 [3034학부] 호텔관광대학,회계원리,전필,1
,호텔외식비즈니스의이해,전선,1
,호텔외식경영실무2,전선,1
,서비스매너,전선,1
,레스토랑경영론,전선,2
,호텔외식경영실무4,전선,2
,호텔외식서비스경영론,전선,2
,호텔외식식품위생관리,전선,2
,푸드스타일링,전선,2
,항공.크루즈산업,전선,2
,호텔기업경영론,전필,3
,호텔외식원가관리,전필,3
,호텔외식식품유통물류관리,전선,3
,호텔외식경영실무6,전선,3
,관광자원상품기획,전선,3
,호텔외식경영실무8,전선,4
,프랜차이즈기업사례연구,전선,4
,호텔외식창업프로젝트,전선,4
,음식관광기획론,전선,4
,페스티벌이벤트경영론,전선,4
화학과 [2433학부] 자연과학대학,유기화학2,전필,2
,응용분석화학,전필,2
,물리화학1,전선,2
,유기화학실험,전선,2
,단백질생화학,전선,2
,고분자화학,전선,3
,극미량분석,전선,3
,무기화학실험,전선,3
,생유기화학,전선,3
,화학교과교재연구및지도법,전선,3
,화학논리및논술,전선,3
,화학과소프트웨어1,전선,3
,금속착물화학,전선,3
,생활속의화학,전선,4
,공업화학,전선,4
,천연물화학,전선,4
,생물리화학,전선,4
,분광학및실험,전선,4
,응용화학연구및실험2,전선,4
,졸업연구및진로2,전선,4
환경에너지공간융합학과 [2790학부] 공과대학,환경공학개론,전필,1
,GIS및실습,전필,2
,지구의구조및진화,전선,2
,디지털지도,전선,2
,폐기물관리,전선,2
,연료및연소공학,전선,2
,디지털사진측정및실습,전필,3
,환경에너지,전필,3
