학과명,과목명,이수구분,학년
건설환경공학과,대학생활과진로설계,중필,1
,공업역학,전필,1
,응용역학및연습2,전필,2
,기초창의설계,전필,2
,유체역학2및실험,전선,2
,수문학,전선,3
,토질역학및실험2,전선,3
,철근콘크리트공학및실험2,전선,3
,하수및폐수처리공학,전선,3
,강구조공학2,전선,3
,공업교과교재연구및지도법,전선,3
,공업논리및논술,전선,3
,건설수치해석,전선,3
,종합설계,전필,4
,교량공학,전선,4
,도로공학,전선,4
,현장실습,전선,4
,졸업연구및진로2,전선,4
건축공학부,건축디자인,전필,1
건축공학부 건축공학전공,구조역학1,전필,2
,공학기초설계,전필,2
,건축설비개론,전선,2
,건축재료,전선,3
,건축법규,전선,3
,건축시공,전선,3
,특수구조개론,전선,3
,전공인턴십10,전신,3
,공학설계B,전필,4
,컴퓨터구조해석,전선,4
,건축조명,전선,4
,건설IT,전선,4
,스마트구조개론,전선,4
,졸업연구및진로2,전선,4
건축공학부 건축학전공,근대건축사,전필,2
,스튜디오2,전필,2
,건축구조개론,전필,2
,건축디지털디자인2,전선,2
,건축설비,전필,3
,스튜디오4,전필,3
,도시설계,전필,3
,재료와디테일,전필,3
,건축경제학,전선,3
,전공인턴십2,전선,3
,건설경영,전필,4
,스튜디오6,전필,4
,인테리어,전선,4
,주거론,전선,4
,동양건축사,전필,5
,스튜디오8,전필,5
,개별연구,전선,5
,졸업연구및진로2,전선,5
경영학부,대학생활과진로설계,중필,1
,경영학원론,전필,1
,회계원리1,전필,1
,경영기초수학,전선,1
,경영기초영어,전선,1
,Introduction to Finance,전선,1
경영학부 경영학전공,조직행동론,전필,2
,경영정보론,전필,2
,마케팅조사,전선,2
,소비자행동론,전선,2
,원가회계,전선,2
,투자론,전선,2
,기업재무,전선,2
,생산운영관리,전선,2
,비즈니스커뮤니케이션2,전선,2
,관리경제학,전선,3
,세무회계,전선,3
,선물옵션이론,전선,3
,유통경로관리,전선,3
,전략경영,전선,3
,인적자원개발론,전선,3
,금융기관론,전선,3
,서비스운영관리,전선,3
,상업정보교과교재연구및지도법,전선,3
,상업정보논리및논술,전선,3
,팀관리,전선,3
,경영정보보안및감사,전선,3
,중급회계2,전선,3
,Business Research Methods,전선,3
,정보분석과의사결정,전선,3
,비즈니스세미나,전선,3
,Practices of Venture Creation,전선,3
,전공인턴십1,전선,3
,전공인턴십7,전선,3
,전공인턴십10,전선,3
,전공인턴십12,전선,3
,생명보험,전선,4
,경영시뮬레이션,전선,4
,사회보험,전선,4
,마케팅사례,전선,4
,기업지배구조와회계부정,전선,4
,졸업연구및진로2,전선,4
,재무분석및가치평가,전선,4
경제통상학과,경제원론2,전필,1
,국제통상학개론,전필,1
,경영학원론,전선,1
,계량경제학,전필,2
,무역실무,전선,2
,응용미시경제학,전선,2
,개방거시경제학,전선,2
,국제금융론,전선,3
,교통경제학,전선,3
,일반사회교과교재연구및지도법,전선,3
,일반사회논리및논술,전선,3
,금융경제론,전선,3
,파생금융상품론,전선,3
,전공인턴십12,전선,3
,경제통합론,전선,4
,한국무역론,전선,4
,졸업연구및진로2,전선,4
,인구와경제,전선,4
교육학과,교육심리의이론과실제,전필,1
,인문학과교육,전선,1
,교육행정의이론과실제,전필,2
,교육공학의이론과실제,전필,2
,현대교육사상,전선,2
,평생교육방법론,전선,2
,교육통계,전필,3
,평생교육프로그램개발론,전선,3
,평생교육경영론,전선,3
,교육학교과교재연구및지도법,전선,3
,교육학논리및논술,전선,3
,심리검사,전선,4
,성인학습및상담,전선,4
,졸업연구및진로2,전선,4
국방시스템공학과,해군장교현장실습1,전필,1
,군사전자공학개론및실험,전필,1
,장교직무교육세미나2,전필,1
,기초역학개론,전필,2
,시스템응용SW,전필,2
,해군장교현장실습2,전필,2
,장교직무교육세미나4,전필,2
,함정운용학,전선,2
,함정공학개론,전선,2
,신호및시스템,전필,3
,제어공학,전필,3
,해군장교현장실습3,전필,3
,유도/수중무기시스템,전선,3
,항해학개론,전필,4
,해군장교현장실습4,전필,4
,수중음향학,전선,4
,졸업연구및진로2,전선,4
국어국문학과,국어국문학의현재와미래,전필,1
,국어학개론,전선,1
,한국어어문생활의실제,전선,2
,한국근대시론,전선,2
,한국고전소설론,전필,3
,국어교과교재연구및지도법,전선,3
,국어논리및논술,전선,3
,한국문화와한국어교육,전선,3
,한국근대소설론,전선,3
,한국문학과영상문화,전선,3
,전공인턴십12,전선,3
,한국문학의역사,전선,4
,한국어화용론,전선,4
국제학부,일본문화,전선,1
,현대중국의이해,전선,1
,영어의활용,전선,1
,영문번역의첫걸음,전선,1
,초급중국어,전선,1
,일본어A2,전선,1
국제학부 영어영문학전공,영어어휘와발음,전필,2
,국제업무와영어,전선,2
,미국문학의흐름,전선,2
,영어통사론,전필,3
,미국사회와문학,전필,3
,영미여성문학,전선,3
,문학번역,전선,3
,영어교과교재연구및지도법,전선,3
,영어논리및논술,전선,3
,IT기반로컬라이제이션,전선,3
,영미명작의세계,전선,4
,졸업연구및진로2,전선,4
,미래융합:캡스톤디자인,전선,4
국제학부 일어일문학전공,일본어 B2,전선,2
,일본어강독,전선,2
,일본기업경영론,전선,2
,일본어회화,전선,2
,일문학과역사,전필,3
,일본지역연구,전필,3
,일본어교과교재연구및지도법,전선,3
,일본어논리및논술,전선,3
,일본문화콘텐츠,전선,3
,일본어능력시험,전필,4
,한일비교문화론,전필,4
,일문학강독3,전선,4
,졸업연구및진로2,전선,4
국제학부 중국통상학전공,국제통상개론,전필,2
,중급중국어2,전선,2
,중급중국어연습2,전선,2
,중국어능력시험,전필,3
,중국어회화2,전필,3
,중국문학과문화,전필,3
,중국무역실무,전선,3
,영상중국어,전선,3
,아시아태평양시장마케팅론,전선,3
,한중관계론,전선,4
,중국산업과금융,전선,4
,동아시아경제론,전선,4
,졸업연구및진로2,전선,4
